label,clean
1,"Isn' me here alone watching this after 12 yrs, right?"
1,love Justin bimar
1,still hearing this song <3
0,Never knew drake was here
1,He was so young like baby
1,It' now that realise 've never listened to this song but just knew it from memes
1,"Al time hits,, this songðŸ¥°ðŸ¥°ðŸ¥°"
1,Get well soon jbðŸ¥ºâ¤ï¸â€ðŸ©¹
1,11 years ago thought this was one of the worst songs ever. Now when hear this song shout the lyrics. How time changes person.
1,Baby Baby Baby nooo
1,ðŸ˜²ðŸ˜³ WoW
1,Old is gold ðŸ†
0,"feel bad saying this, but the whole song was waiting for his part.. meaning thought it was girl singing"
1,Hii from india 2023
1,"Sidhu Musewala was just ten months older than Justin Beaver but Justin Beaver' career started much earlier in 2008 and Sidhu' career started in 2017 and ended in 2022 Sidhu Musewala' on 29/5/22was shot and killed. But by rising from small village, what he achieved in five years, it is not just matter of everyone, looking at his popularity, then by 2030, everyone will come to No.1 in the whole world.Would have been favorite singer but alas it could not happen. God rest his soul"
1,Is song listen song..now&then...ðŸ¤Ž
1,WAS LIKE BABY BABBY BBABBYYY OPOOOOOOOOOOH
1,Baby Justin takes me home ðŸ˜œâ¤â¤â¤â¤â¤
1,1225 GOD ðŸ°ðŸ°ðŸ°
1,Dani Daniels ðŸ™‚
1,hadn' listened to this song for long time and love it
1,Hood classic :â€™)
1,Don' say you are still here in 2022!
1,Hyyyyyâ¤ï¸
1, in love with this song. Truly masterpieceâ¤
1,love him foreverâ¤â¤â¤
1,"not that it matters, but this song was uploaded the exact day was born."
1,Don' give up
1,Baby ðŸŽ§
1,childhood crush
1,Still the same vibes anyone in 2023â˜ºï¸
1,justin biber cute boy like
1,am listening this song from 2014 Any one who listens this song from my year
1,Itâ€™ been 12 years and still donâ€™ know that girls name someone please tell me who she is Sheâ€™ just so pretty
0,ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚
1,In 2022 it hit differently
1,"If you are listening this masterpiece at April 2022, you are legend"
1,like to song
0,Who is Bangladesh
1,This song very nice and vaice oooooo
0,te amooooooooooooooooooooooo
1,"10 year old me was trippin, this song is bop"
0,miss the days when disliked the song for no reason ðŸ¤£
1,Baby oh oh
1,This is one nostalgic piece of the internet
1,Did you listen to this song even in 2023?
1,look like him
1,am from India Assam â¤ï¸you beiber â¤ï¸â¤ï¸â¤ï¸
1,Legend ðŸ’¯
1,Imagine have crush when was 4 lol but..
1,Some song is made for emotion.justine is now not child but his song In our heartðŸ¤âœ¨
1,"0:14 Ohh whooaa Ohh whooaa Ohh whooaa You know you love me know you care Just shout whenever And will be there You are my love You are my heart And we would never, ever, ever be apart Are we an item? Girl quit playin' We are just friends What are you sayin' Said there' another, look right in my eyes My first love broke my heart for the first time And was like Baby, baby, baby ohh Like Baby, baby, baby noo Like Baby, baby, baby ohh thought you' always be mine (mine) Baby, baby, baby ohh Like Baby, baby, baby noo Like Baby, baby, baby ohh thought you' always be mine (mine) Oh for you, would have done whatever And just can' believe we ain' together And want to play it cool But ' losing you will buy you anything will buy you any ring And ' in pieces Baby fix me Just shake me till you wake me from this bad dream ' goin down, down, down, down And just can' believe my first love won' be around And was like Baby, baby, baby ohh Like Baby, baby, baby noo Like Baby, baby, baby ohh thought you' always be mine (mine) Baby, baby, baby ohh Like Baby, baby, baby noo Like Baby, baby, baby ohh thought you' always be mine (mine) Ludacris: Luda! When was 13 had my first love There was nobody that could compare to my baby And nobody came between us Noone could ever come above She had me going crazy Oh was starstruck She woke me up daily Do Not need no starbucks She made my heart pound And skip beat when see her in the streets and Andat school, on the playground But really want to see her on the weekend She knows she got me dazing Because she was so amazing And now my heart is breaking But just keep on saying... Baby, baby, baby ohh Like Baby, baby, baby noo Like Baby, baby, baby ohh thought you' always be mine (mine) Baby, baby, baby ohh Like Baby, baby, baby noo Like Baby, baby, baby ohh thought you' always be mine (mine) Yeahh, yeah, yeah Yeahh, yeah, yeah (oh i am all gone) Yeahh, yeah, yeah Yeahh, yeah, yeah (now i am all gone) Yeahh, yeah, yeah Now ' all gone, gone, gone, gone ' gone"
1,"Ok, but DRAKE at 1:21 've watched this video like thousand times and this is the first time saw him. :"
1,The most commented video in the whole of YouTube What great man....
1,2023 this is still trendinggg ðŸ˜‚ðŸ˜‚
1,ðŸ¥³â™¥
1,Memories ~
1, watching for This Song 2022 September â¤ï¸â¤ï¸
1,love him coz this masterpiece
1,What songâ¤ï¸â¤ï¸ðŸ‡§ðŸ‡©
0,Indian like karo
1,My favourite one ðŸ˜ðŸ˜ðŸ˜˜ðŸ˜˜â£ï¸â£ï¸
0,"He' old now. Got some DUIs, been arrested several times, got married. He' officially man. Lives five minutes from my house in Ontario, Canada."
1,2010... ðŸ˜¥
1,"Its so crazy that this song was made 12 years ago ""mind blown"""
0,Why postpone your concert
1,wooooow ILIKE it it' so beautiful ðŸ˜
1,Normal kid in ohio:
0,He looks like kid danger lotðŸ™ƒðŸ™‚
0,"There are 22 million likes on this video , you still can' like my comment ... :("
1,405 GOD ðŸ’–ðŸ’–ðŸ’–
1,like your music so much wish can meet you in person Justin Bieber
1,Baby baby baby oh ahhh ðŸ’•ðŸ˜š
1,Weird story but true: Whenever have constipation go ahead and listen to this song in particular and it solves the clogginess and releases me.. don' no what it is but thanks to Justin Bieber guess.
1,This never disapper from trending list
1,crazy how this song came out 12 years ago and still hits the same
0,agdirie 2018 12 12 10 10 tom end jery jery jery
0,came to see how bad the song was
1,You looked so cute ðŸ˜ðŸ˜ðŸ˜
1,OohðŸŽ‰
1,2023 still banger ðŸ’ªðŸ»â¤
1,just realized that drake in the mvðŸ˜‚ðŸ˜‚
1,timeless masterpiece worthy of zero dislikes for all eternity
0,old as fk
1,"2022 who is listining ,"
1,Anyone watching 2023â¤â¤â¤
1,2023.0618
1,The comment section is pretty much just forever going live chat room
1,Master piece 2023
1,738 GOD ðŸ’–ðŸ’–ðŸ’–
1,2:13 when was 13 have my first love
1,""""" ðŸ’—â™¥ï¸"
1,1st May let' see how many people are listening to this master piece ðŸ’“ðŸ˜‰
1,Starting Soon
1,"This song never gets old, No matter how much listen, never gets bored. :-) âœŒâœŒ"
1,The songâ€¦
0,indian made this more famous guess ðŸ¤£
0,2009
1,love this song â¤ï¸ðŸ˜
1,came here to change my dislike button to like button :-)